iter	RMSE
0	4512.978034
1	4377.392451
2	4240.897792
3	4121.420558
4	4004.285514
5	3894.492867
6	3795.118604
7	3711.058254
8	3636.616479
9	3555.208683
10	3477.671916
11	3407.614796
12	3341.428091
13	3281.928756
14	3218.559053
15	3159.602179
16	3107.155246
17	3062.24801
18	3017.33288
19	2976.98776
20	2959.673095
21	2916.666592
22	2880.945197
23	2851.074965
24	2820.745867
25	2793.501078
26	2772.470225
27	2745.249
28	2726.844169
29	2703.622694
30	2681.413368
31	2662.81762
32	2644.76493
33	2625.319923
34	2607.450108
35	2591.786377
36	2577.398373
37	2568.764824
38	2555.439351
39	2544.85867
40	2530.094868
41	2518.660143
42	2506.669781
43	2496.330254
44	2489.798258
45	2477.054663
46	2471.564826
47	2459.147281
48	2450.580925
49	2440.261485
50	2433.254697
51	2423.054135
52	2412.062305
53	2403.885315
54	2398.077597
55	2389.128355
56	2382.257426
57	2375.287534
58	2367.84526
59	2359.086102
60	2352.367294
61	2343.926547
62	2338.324591
63	2333.045676
64	2326.157313
65	2318.386778
66	2313.708155
67	2307.881843
68	2302.974463
69	2298.014097
70	2293.238185
71	2288.126662
72	2285.141235
73	2281.458024
74	2278.711509
75	2274.596349
76	2271.929057
77	2265.914075
78	2259.857233
79	2257.133775
80	2253.224333
81	2249.411626
82	2243.419185
83	2238.527937
84	2233.652459
85	2230.226869
86	2226.990272
87	2223.098003
88	2212.992597
89	2210.575606
90	2207.463649
91	2203.552854
92	2198.678469
93	2195.269402
94	2190.685544
95	2186.83101
96	2183.078626
97	2180.858628
98	2176.820504
99	2174.968444
100	2171.221497
101	2168.344745
102	2163.291504
103	2160.163721
104	2156.348272
105	2152.888321
106	2149.714061
107	2147.559777
108	2143.900964
109	2141.070159
110	2137.492664
111	2133.089144
112	2130.302152
113	2125.416409
114	2119.282534
115	2115.493736
116	2111.084549
117	2108.441782
118	2104.730703
119	2101.563194
120	2099.09677
121	2097.792307
122	2095.490632
123	2093.289139
124	2090.393984
125	2087.775563
126	2085.46761
127	2082.857752
128	2079.663865
129	2076.688491
130	2071.85523
131	2067.706016
132	2064.319124
133	2061.149084
134	2058.582377
135	2056.296406
136	2051.790365
137	2048.796923
138	2047.178617
139	2044.958708
140	2042.531353
141	2040.389837
142	2038.336578
143	2035.462591
144	2032.446358
145	2030.047469
146	2027.905173
147	2025.11608
148	2022.584987
149	2018.018746
150	2013.147135
151	2011.317849
152	2008.568329
153	2005.872651
154	2003.974728
155	2001.526298
156	1999.634222
157	1996.2699
158	1994.236499
159	1991.315341
160	1988.496984
161	1984.020849
162	1982.279144
163	1980.465221
164	1977.561992
165	1975.805822
166	1973.190552
167	1970.907086
168	1969.109936
169	1967.334939
170	1965.240253
171	1962.676748
172	1960.809658
173	1958.880888
174	1956.806994
175	1954.751193
176	1952.222893
177	1949.41186
178	1947.308415
179	1945.162279
180	1942.807511
181	1941.407728
182	1938.937238
183	1936.769123
184	1934.896694
185	1932.560446
186	1929.842406
187	1927.563176
188	1925.730339
189	1921.96748
190	1919.916475
191	1917.241041
192	1915.63507
193	1913.843723
194	1911.389154
195	1909.625303
196	1907.374309
197	1905.668837
198	1904.155471
199	1901.720886
200	1899.79425
201	1898.072315
202	1896.042497
203	1894.159281
204	1890.903467
205	1889.547079
206	1887.698805
207	1885.46517
208	1883.730157
209	1882.687298
210	1881.578862
211	1879.667442
212	1878.505707
213	1877.509914
214	1875.9319
215	1874.429868
216	1872.785242
217	1869.843845
218	1869.127218
219	1867.484954
220	1864.847274
221	1863.611673
222	1862.120552
223	1859.91338
224	1858.720603
225	1857.601632
226	1856.363084
227	1855.074534
228	1853.952113
229	1852.692977
230	1851.90395
231	1850.54753
232	1849.842369
233	1847.792764
234	1845.81996
235	1844.253193
236	1843.004991
237	1841.954098
238	1839.795087
239	1838.294876
240	1836.96001
241	1835.193744
242	1834.087713
243	1833.288099
244	1830.932344
245	1829.259864
246	1827.995413
247	1827.668736
248	1826.617665
249	1825.20482
250	1823.90875
251	1821.962411
252	1820.650844
253	1819.417001
254	1817.958072
255	1816.796476
256	1816.488534
257	1814.34268
258	1812.315949
259	1811.26433
260	1810.458355
261	1809.197939
262	1808.585764
263	1807.133003
264	1806.294761
265	1805.870492
266	1804.375182
267	1802.849999
268	1802.191254
269	1800.70168
270	1798.896218
271	1797.411603
272	1796.000473
273	1795.432045
274	1794.215183
275	1792.630757
276	1791.329945
277	1790.765146
278	1790.070139
279	1788.924649
280	1787.974061
281	1786.263005
282	1785.11926
283	1784.085065
284	1782.326974
285	1781.242016
286	1779.664077
287	1779.254607
288	1778.136709
289	1777.093483
290	1776.454014
291	1775.313975
292	1773.846463
293	1772.861751
294	1772.376683
295	1771.533483
296	1771.300247
297	1770.2818
298	1769.108436
299	1768.898729
300	1767.843264
301	1766.641388
302	1765.39654
303	1764.824431
304	1764.756933
305	1763.558336
306	1761.899492
307	1760.325402
308	1759.48473
309	1758.389795
310	1757.244157
311	1756.548358
312	1756.47741
313	1755.563923
314	1754.785852
